@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
115,'2021/03/11 15:16:11:334',5,0.000083,0.000225,-0.008973,0.001036,-0.000928,0.000123,0.014401,-0.051319,-3.089419,1,?,?,?,?
116,'2021/03/11 15:16:11:375',5,0.000237,-0.001006,-0.007343,0.000079,-0.004558,-0.001254,0.014345,-0.051381,-3.089444,1,?,?,?,?
117,'2021/03/11 15:16:11:405',5,0.000932,-0.001331,-0.008968,-0.001573,-0.00566,-0.00513,0.014325,-0.051543,-3.089504,1,?,?,?,?
118,'2021/03/11 15:16:11:444',5,-0.001774,-0.000395,-0.009477,-0.008076,0.005665,-0.066248,0.014223,-0.051675,-3.089946,1,?,?,?,?
119,'2021/03/11 15:16:11:480',5,-0.06281,-0.002347,-0.010053,-0.016192,-0.003847,-0.292549,0.014164,-0.051613,-3.097228,1,?,?,?,?
120,'2021/03/11 15:16:11:512',5,-0.004764,0.005088,-0.018158,-0.03412,-0.003584,-0.639984,0.014229,-0.051646,-3.115854,1,?,?,?,?
121,'2021/03/11 15:16:11:549',5,0.001839,-0.00906,-0.005714,-0.028465,-0.002198,-0.574461,0.014439,-0.051428,-3.136791,1,?,?,?,?
122,'2021/03/11 15:16:11:586',5,0.000985,-0.004836,-0.009215,-0.032889,-0.006924,-0.568834,0.014433,-0.051263,3.126255,1,?,?,?,?
123,'2021/03/11 15:16:11:620',5,0.002805,0.009433,-0.006521,-0.032723,-0.001756,-0.638735,0.014423,-0.051111,3.101737,1,?,?,?,?
124,'2021/03/11 15:16:11:658',5,0.007338,0.003714,-0.010917,-0.034821,-0.001013,-0.659058,0.014426,-0.050822,3.078827,1,?,?,?,?
125,'2021/03/11 15:16:11:691',5,0.008365,0.017988,-0.009268,-0.034607,0.003526,-0.750544,0.014464,-0.050506,3.053412,1,?,?,?,?
126,'2021/03/11 15:16:11:727',5,0.007582,-0.015825,-0.007555,-0.024172,0.000417,-0.484904,0.01451,-0.050104,3.031597,1,?,?,?,?
127,'2021/03/11 15:16:11:766',5,-0.00281,0.011942,-0.008064,-0.026438,-0.00109,-0.526068,0.014491,-0.049905,3.01509,1,?,?,?,?
128,'2021/03/11 15:16:11:798',5,0.005139,0.025203,-0.009028,-0.039521,-0.002237,-0.776603,0.014492,-0.04966,2.991933,1,?,?,?,?
129,'2021/03/11 15:16:11:834',5,0.012983,-0.008417,-0.008096,-0.035399,0.003312,-0.721572,0.014457,-0.04934,2.964122,1,?,?,?,?
130,'2021/03/11 15:16:11:874',5,0.001877,-0.027422,-0.008626,-0.022467,0.00579,-0.447603,0.014418,-0.04896,2.943763,1,?,?,?,?
131,'2021/03/11 15:16:11:910',5,0.000082,-0.005371,-0.008719,-0.019084,0.004631,-0.39097,0.01439,-0.048675,2.929059,1,?,?,?,?
132,'2021/03/11 15:16:11:944',5,0.000014,-0.021891,-0.008179,-0.007353,0.01184,-0.152339,0.01441,-0.04824,2.918672,1,?,?,?,?
133,'2021/03/11 15:16:11:977',5,0.004736,-0.005096,-0.008237,-0.006554,0.01008,-0.136486,0.01439,-0.047866,2.914549,1,?,?,?,?
134,'2021/03/11 15:16:12:014',5,0.002447,-0.006868,-0.009299,-0.006214,0.009572,-0.162849,0.014418,-0.047392,2.90782,1,?,?,?,?
135,'2021/03/11 15:16:12:047',5,0.014936,0.014142,-0.007916,0.001911,0.011086,0.000931,0.015012,-0.047002,2.905304,1,?,?,?,?
136,'2021/03/11 15:16:12:091',5,0.001434,0.001212,-0.007805,0.002716,0.00652,0.004245,0.015343,-0.046821,2.905355,1,?,?,?,?
