@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
208,'2021/03/11 21:57:35:689',12,0.032608,-0.003568,0.01903,0.002772,-1.694307,0.003527,-0.017836,-0.450671,0.003872,?,?
209,'2021/03/11 21:57:35:717',12,0.037784,-0.0015,-0.011385,0.008509,-1.615431,-0.000921,-0.017736,-0.50904,0.004146,?,?
210,'2021/03/11 21:57:35:749',12,0.02318,0.009565,0.041587,0.007246,-1.324615,0.006666,-0.017428,-0.554832,0.003875,?,?
211,'2021/03/11 21:57:35:779',12,0.025457,-0.002408,-0.021286,0.003044,-1.306336,0.024969,-0.017729,-0.592709,0.004611,?,?
212,'2021/03/11 21:57:35:812',12,0.024001,-0.028772,-0.06993,0.110546,-1.524993,0.140722,-0.017848,-0.63579,0.007152,?,?
213,'2021/03/11 21:57:35:843',12,0.039627,-0.0053,-0.013515,0.17619,-1.462098,0.191801,-0.01731,-0.681602,0.013966,?,?
214,'2021/03/11 21:57:35:874',12,-0.006047,0.011743,0.021776,0.213217,-1.310888,0.233826,-0.016807,-0.729445,0.02404,?,?
215,'2021/03/11 21:57:35:905',12,0.052118,-0.017821,-0.00913,0.268386,-1.261106,0.289757,-0.016937,-0.768412,0.034716,?,?
216,'2021/03/11 21:57:35:941',12,0.008769,-0.012636,-0.045234,0.314827,-1.323339,0.31096,-0.017062,-0.807297,0.047294,?,?
217,'2021/03/11 21:57:35:968',12,0.031642,0.036267,0.023563,0.093249,-1.097759,0.087122,-0.017246,-0.843277,0.057486,?,?
218,'2021/03/11 21:57:36:003',12,0.004132,-0.019615,0.096082,-0.006752,-0.673295,-0.012874,-0.017037,-0.871564,0.057579,?,?
219,'2021/03/11 21:57:36:030',12,0.011247,-0.000431,-0.033402,-0.009328,-0.659761,0.004421,-0.017278,-0.892198,0.057337,?,?
220,'2021/03/11 21:57:36:062',12,0.013197,-0.010065,-0.070604,0.015215,-0.887481,0.013789,-0.017497,-0.916639,0.057596,?,?
221,'2021/03/11 21:57:36:096',12,0.017708,0.001712,-0.048712,-0.013138,-1.01837,0.005404,-0.018217,-0.944704,0.057408,?,?
222,'2021/03/11 21:57:36:125',12,0.023707,-0.000375,-0.036841,0.003529,-1.129166,-0.00894,-0.018092,-0.97806,0.057054,?,?
223,'2021/03/11 21:57:36:156',12,0.019437,0.015226,-0.05793,-0.042617,-1.340718,-0.042675,-0.016971,-1.014256,0.056521,?,?
224,'2021/03/11 21:57:36:188',12,0.025205,0.037154,-0.015499,-0.303004,-1.524734,-0.188008,-0.016618,-1.067734,0.049338,?,?
225,'2021/03/11 21:57:36:218',12,0.012902,-0.054066,0.112268,0.031544,-0.841006,0.014431,-0.016667,-1.103562,0.042569,?,?
226,'2021/03/11 21:57:36:249',12,-0.003516,0.005999,-0.004859,0.022306,-0.60994,-0.038546,-0.016646,-1.123649,0.043026,?,?
227,'2021/03/11 21:57:36:280',12,-0.003816,0.031447,-0.008127,-0.00163,-0.574409,-0.104041,-0.014879,-1.142099,0.04178,?,?
228,'2021/03/11 21:57:36:313',12,0.023359,-0.043741,0.06455,-0.008301,-0.311818,-0.005255,-0.012751,-1.154612,0.042085,?,?
229,'2021/03/11 21:57:36:345',12,0.00357,0.004572,-0.042028,-0.027788,-0.495702,-0.048883,-0.011526,-1.169165,0.041472,?,?
230,'2021/03/11 21:57:36:374',12,0.004266,0.000414,-0.043168,-0.058214,-0.642205,-0.032654,-0.010832,-1.185817,0.039974,?,?
231,'2021/03/11 21:57:36:405',12,0.020475,-0.0098,-0.07153,-0.045715,-0.861151,0.005981,-0.010914,-1.208187,0.038467,?,?
232,'2021/03/11 21:57:36:437',12,0.019036,0.009111,-0.080394,-0.007561,-1.087791,-0.031835,-0.010558,-1.238037,0.037931,?,?
233,'2021/03/11 21:57:38:000',13,-0.00253,0.001062,-0.034223,0.005635,-0.500674,-0.00035,-0.012427,-1.949976,0.042474,?,?
234,'2021/03/11 21:57:38:031',13,-0.008905,0.004482,-0.064357,-0.007702,-0.655152,-0.003376,-0.012349,-1.967795,0.042482,?,?
235,'2021/03/11 21:57:38:062',13,0.003198,-0.000614,0.02115,-0.001361,-0.490141,-0.001237,-0.012165,-1.98859,0.042401,?,?
236,'2021/03/11 21:57:38:093',13,0.006624,-0.00353,0.072996,-0.003968,-0.147987,0.005006,-0.01206,-1.998835,0.042169,?,?
237,'2021/03/11 21:57:38:123',13,0.007772,-0.001011,0.062592,0.002028,0.216454,0.000509,-0.01212,-1.997758,0.042113,?,?
238,'2021/03/11 21:57:38:159',13,0.012576,0.003759,0.085539,-0.004035,0.636821,-0.002736,-0.01208,-1.985173,0.042071,?,?
239,'2021/03/11 21:57:38:189',13,0.016474,0.000061,0.09566,-0.00999,1.135999,0.008003,-0.012131,-1.958168,0.041771,?,?
240,'2021/03/11 21:57:38:217',13,0.026379,0.001293,0.07939,-0.002511,1.576612,0.002105,-0.012318,-1.909556,0.041497,?,?
241,'2021/03/11 21:57:38:249',13,0.030726,0.001223,0.062612,0.002704,1.833837,-0.000028,-0.012328,-1.85801,0.041488,?,?
242,'2021/03/11 21:57:38:281',13,0.017921,0.015701,0.019167,-0.01037,1.892866,-0.058918,-0.011506,-1.801033,0.041347,?,?
243,'2021/03/11 21:57:38:311',13,0.026077,-0.004672,0.009203,-0.009929,1.886312,-0.048986,-0.009662,-1.743861,0.041392,?,?
244,'2021/03/11 21:57:38:342',13,0.017093,-0.006826,-0.024409,-0.019207,1.737145,-0.017016,-0.008764,-1.688607,0.041175,?,?
245,'2021/03/11 21:57:38:373',13,0.021267,-0.006257,-0.001449,-0.013618,1.66882,0.021141,-0.008897,-1.628921,0.040692,?,?
246,'2021/03/11 21:57:38:407',13,0.014413,0.000342,-0.01869,-0.008124,1.5894,0.018736,-0.009408,-1.579553,0.04044,?,?
247,'2021/03/11 21:57:38:436',13,0.015423,-0.00147,-0.002124,-0.01763,1.546619,0.022166,-0.009984,-1.532534,0.040112,?,?
